"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,211,"ZAF","South Africa",1,"Eastern Cape","ZA.EC",NA,"EC","Provinsie","Province","","Oos-Kaap"
2,211,"ZAF","South Africa",2,"Free State","ZA.FS",NA,"FS","Provinsie","Province","","Orange Free State|Vrystaat"
3,211,"ZAF","South Africa",3,"Gauteng","ZA.GT",NA,"GT","Provinsie","Province","","Pretoria/Witwatersrand/Vaal"
4,211,"ZAF","South Africa",4,"KwaZulu-Natal","ZA.NL",NA,"KZN","Provinsie","Province","","Natal and Zululand"
5,211,"ZAF","South Africa",5,"Limpopo","ZA.NP",NA,"LIM","Provinsie","Province","","Noordelike Provinsie|Northern Transvaal|Northern Province"
6,211,"ZAF","South Africa",6,"Mpumalanga","ZA.MP",NA,"MP","Provinsie","Province","","Eastern Transvaal"
7,211,"ZAF","South Africa",7,"North West","ZA.NW",NA,"NW","Provinsie","Province","","North-West|Noordwes"
8,211,"ZAF","South Africa",8,"Northern Cape","ZA.NC",NA,"NC","Provinsie","Province","","Noord-Kaap"
9,211,"ZAF","South Africa",9,"Western Cape","ZA.WC",NA,"WC","Provinsie","Province","","Wes-Kaap"
