"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
46,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",46,"28","",24403028,"","Ward","Ward"
47,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",47,"29","",24403029,"","Ward","Ward"
48,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",48,"2","",24403002,"","Ward","Ward"
49,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",49,"30","",24403030,"","Ward","Ward"
50,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",50,"31","",24403031,"","Ward","Ward"
51,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",51,"3","",24403003,"","Ward","Ward"
52,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",52,"4","",24403004,"","Ward","Ward"
53,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",53,"5","",24403005,"","Ward","Ward"
54,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",54,"6","",24403006,"","Ward","Ward"
55,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",55,"7","",24403007,"","Ward","Ward"
56,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",56,"8","",24403008,"","Ward","Ward"
57,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",57,"9","",24403009,"","Ward","Ward"
58,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",58,"10","",24404010,"","Ward","Ward"
59,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",59,"11","",24404011,"","Ward","Ward"
60,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",60,"12","",24404012,"","Ward","Ward"
61,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",61,"13","",24404013,"","Ward","Ward"
62,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",62,"14","",24404014,"","Ward","Ward"
63,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",63,"15","",24404015,"","Ward","Ward"
64,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",64,"16","",24404016,"","Ward","Ward"
65,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",65,"17","",24404017,"","Ward","Ward"
66,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",66,"18","",24404018,"","Ward","Ward"
67,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",67,"1","",24404001,"","Ward","Ward"
68,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",68,"2","",24404002,"","Ward","Ward"
69,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",69,"3","",24404003,"","Ward","Ward"
70,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",70,"4","",24404004,"","Ward","Ward"
71,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",71,"5","",24404005,"","Ward","Ward"
72,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",72,"6","",24404006,"","Ward","Ward"
73,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",73,"7","",24404007,"","Ward","Ward"
74,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",74,"8","",24404008,"","Ward","Ward"
75,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",75,"9","",24404009,"","Ward","Ward"
76,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",76,"10","",24402010,"","Ward","Ward"
77,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",77,"11","",24402011,"","Ward","Ward"
78,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",78,"12","",24402012,"","Ward","Ward"
79,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",79,"13","",24402013,"","Ward","Ward"
80,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",80,"14","",24402014,"","Ward","Ward"
81,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",81,"15","",24402015,"","Ward","Ward"
82,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",82,"16","",24402016,"","Ward","Ward"
83,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",83,"17","",24402017,"","Ward","Ward"
84,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",84,"18","",24402018,"","Ward","Ward"
85,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",85,"19","",24402019,"","Ward","Ward"
86,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",86,"1","",24402001,"","Ward","Ward"
87,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",87,"20","",24402020,"","Ward","Ward"
88,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",88,"21","",24402021,"","Ward","Ward"
89,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",89,"22","",24402022,"","Ward","Ward"
90,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",90,"23","",24402023,"","Ward","Ward"
91,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",91,"24","",24402024,"","Ward","Ward"
92,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",92,"25","",24402025,"","Ward","Ward"
93,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",93,"26","",24402026,"","Ward","Ward"
94,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",94,"27","",24402027,"","Ward","Ward"
95,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",95,"2","",24402002,"","Ward","Ward"
96,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",96,"3","",24402003,"","Ward","Ward"
97,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",97,"4","",24402004,"","Ward","Ward"
98,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",98,"5","",24402005,"","Ward","Ward"
99,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",99,"6","",24402006,"","Ward","Ward"
100,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",100,"7","",24402007,"","Ward","Ward"
101,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",101,"8","",24402008,"","Ward","Ward"
102,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",102,"9","",24402009,"","Ward","Ward"
103,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",103,"10","",21204010,"","Ward","Ward"
104,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",104,"11","",21204011,"","Ward","Ward"
105,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",105,"12","",21204012,"","Ward","Ward"
106,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",106,"13","",21204013,"","Ward","Ward"
107,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",107,"14","",21204014,"","Ward","Ward"
108,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",108,"15","",21204015,"","Ward","Ward"
109,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",109,"16","",21204016,"","Ward","Ward"
110,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",110,"17","",21204017,"","Ward","Ward"
111,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",111,"18","",21204018,"","Ward","Ward"
