"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
44,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa",44,"Masilonyana",NA,"FS181","Local Municipality","Local Municipality","",""
45,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa",45,"Matjhabeng",NA,"FS184","Local Municipality","Local Municipality","",""
46,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa",46,"Nala",NA,"FS185","Local Municipality","Local Municipality","",""
47,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa",47,"Tokologo",NA,"FS182","Local Municipality","Local Municipality","",""
48,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa",48,"Tswelopele",NA,"FS183","Local Municipality","Local Municipality","",""
49,211,"ZAF","South Africa",2,"Free State",11,"Mangaung",49,"Mangaung",NA,"MAN","Metropolitan Municipality","Metropolitan Municipality","",""
50,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",50,"Dihlabeng",NA,"FS192","Local Municipality","Local Municipality","",""
51,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",51,"Maluti a Phofung",NA,"FS194","Local Municipality","Local Municipality","",""
52,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",52,"Mantsopa",NA,"FS196","Local Municipality","Local Municipality","",""
53,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",53,"Nketoana",NA,"FS193","Local Municipality","Local Municipality","",""
54,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",54,"Phumelela",NA,"FS195","Local Municipality","Local Municipality","",""
55,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane",55,"Setsoto",NA,"FS191","Local Municipality","Local Municipality","",""
56,211,"ZAF","South Africa",2,"Free State",13,"Xhariep",56,"Kopanong",NA,"FS162","Local Municipality","Local Municipality","",""
57,211,"ZAF","South Africa",2,"Free State",13,"Xhariep",57,"Letsemeng",NA,"FS161","Local Municipality","Local Municipality","",""
58,211,"ZAF","South Africa",2,"Free State",13,"Xhariep",58,"Mohokare",NA,"FS163","Local Municipality","Local Municipality","",""
59,211,"ZAF","South Africa",2,"Free State",13,"Xhariep",59,"Naledi",NA,"FS164","Local Municipality","Local Municipality","",""
